"source","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"HIÃ˜-MBVA402-fag_cleaned","224","MBVA402","1","S","2023","12","1461","MAT1005","6","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIÃ˜-MBVA402-fag_cleaned","224","MBVA402","1","S","2023","12","1461","MAT1001","6","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIÃ˜-MBVA402-fag_cleaned","224","MBVA402","1","S","2023","12","1462","MAT1001","4","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIÃ˜-MBVA402-fag_cleaned","224","MBVA402","1","S","2023","12","1462","MAT1005","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIÃ˜-MBVA402-fag_cleaned","224","MBVA402","1","S","2023","12","1463","MAT1001","4","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIÃ˜-MBVA402-fag_cleaned","224","MBVA402","1","S","2023","12","1463","MAT1005","4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIÃ˜-MBVA402-fag_cleaned","224","MBVA402","1","S","2023","12","1465","MAT1001","5","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIÃ˜-MBVA402-fag_cleaned","224","MBVA402","1","S","2023","12","1465","MAT1005","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIÃ˜-MBVA402-fag_cleaned","224","MBVA402","1","S","2023","12","1466","MAT1001","5","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIÃ˜-MBVA402-fag_cleaned","224","MBVA402","1","S","2023","12","1466","MAT1005","5","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIÃ˜-MBVA402-fag_cleaned","224","MBVA402","1","S","2023","12","1469","MAT1011","4","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIÃ˜-MBVA402-fag_cleaned","224","MBVA402","1","S","2023","12","1469","MAT1015","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIÃ˜-MBVA402-fag_cleaned","224","MBVA402","1","S","2023","12","1470","MAT1001","2","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIÃ˜-MBVA402-fag_cleaned","224","MBVA402","1","S","2023","12","1470","MAT1005","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1450","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","HSAPO3","Apotekteknikk","HS","Helse- og oppvekstfag","5","MAT1001","Matematikk 1P-Y",NA,NA,NA,NA,"","45,2","","3,5","0","50","K","33",NA,NA,"SOS","Bachelorstudium i sosialt arbeid"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1451","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","","","","","4","-","-",NA,NA,NA,NA,"46,7","46,7","46,7","1","50","0","K","32",NA,NA,"BVP","Bachelorstudium i barnevern"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1452","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","MKMED3","Studieforberedende vg3 innen medier og kommunikasjon","MK","Medier og kommunikasjon (yrkesfaglig)","4","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"37,14","37,14","37,14","1","50","0","K","25",NA,NA,"BACHSOSARB","Bachelor i sosialt arbeid (HINN)"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1453","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","PBPBY4","Fag for studiekompetanse","","","4,3","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"43,5","43,5","47,5","1,5","50","0","K","25",NA,NA,"BVP","Bachelorstudium i barnevern"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1454","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","","","","","","","",NA,NA,NA,NA,"","","","4","0","50","K","46",NA,NA,"",""
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1455","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","","","","","","","",NA,NA,NA,NA,"38,15","38,15","38,15","1,5","50","0","K","53",NA,NA,"BVP","Bachelorstudium i barnevern"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1456","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","","","","","","","",NA,NA,NA,NA,"","","","1","50","0","K","43",NA,NA,"BARNPED","Bachelor i barnevern (NORD)"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1457","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","IDIDR3","Idrettsfag vg3","ID","Idrettsfag","3,5","MAT1015","Matematikk 2P",NA,NA,NA,NA,"","42,1","","1","50","0","K","27",NA,NA,"BVP","Bachelorstudium i barnevern"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1458","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","MDDAN3","Dans vg3","MD","Musikk, dans og drama","3","MAT1015","Matematikk 2P",NA,NA,NA,NA,"40","40","40","1","50","0","K","26",NA,NA,"BVP","Bachelorstudium i barnevern"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1459","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","IDIDR3","Idrettsfag vg3","ID","Idrettsfag","4","MAT1015","Matematikk 2P",NA,NA,NA,NA,"47","47","47","3","0","0","K","22",NA,NA,"BVP","Bachelorstudium i barnevern"
